rank	count	term
1	774	biomarker
2	450	pathology
3	263	p-tau-181
4	240	lot
5	218	gfap
6	217	clinical
7	207	dementia
8	203	nfl
9	193	scores
10	175	cohort
11	146	control
12	140	Aβ42/40
13	137	percentiles
14	132	diagnosis
15	128	markers
16	127	csf
17	122	amyloid
18	114	research
19	114	cognitive
20	108	Reference Curve
21	106	sex
22	105	APOE4
23	105	tau
24	102	detect
25	101	population
26	99	canada
27	98	assay
28	97	health
29	96	tdp-43
30	93	disease
31	91	significant
32	91	neuropathology
33	91	variables
34	90	Super Seniors
35	87	probability
36	86	measures
37	84	compass-nd
38	84	cvd
39	83	normative
40	83	stages
41	81	diagnostic
42	80	average
43	79	reference
44	79	Co-pathology
45	78	protein
46	77	α-syn
47	76	autopsy
48	75	multiple
49	74	pet
50	73	will
51	71	chms
52	66	carrier
53	64	cognitively
54	64	cut-offs
55	64	utility
56	63	Alzheimer's Disease
57	62	adnc
58	62	ability
59	61	brain
60	61	regression
61	60	intermediate
62	59	canadian
63	59	approved
64	58	thesis
65	58	prevalence
66	58	distribution
67	58	sensitivity
68	54	specimens
69	54	considered
70	53	development
71	53	curves
72	53	clinically
73	53	impairment
74	53	standard
75	53	assess
76	52	neurodegeneration
77	52	detection
78	52	specificity
79	52	card
80	52	neuropathological
81	52	validation
82	52	ris
83	52	bias
84	51	bmi
85	51	many
86	50	pathological
87	50	utilized
88	50	often
89	49	future
90	49	findings
91	49	important
92	49	p-tau-217
93	48	time
94	47	cerad
95	47	cut-off
96	46	similar
97	46	abc
98	45	range
99	45	Aβ40
100	44	neurological
101	44	assays
102	44	set
103	44	pg/ml
104	43	Reference Interval
105	43	without
106	42	change
107	42	positive
108	42	thal
109	42	highly
110	41	status
111	41	simoa
112	41	continuous
113	41	primary
114	41	Aβ42
115	40	approval
116	40	apoe
117	40	staging
118	40	braak
119	40	phase
120	39	large
121	39	new
122	38	need
123	38	ages
124	38	present
125	38	investigated
126	38	selected
127	37	following
128	37	age-specific
129	37	work
130	37	pre-dementia
131	37	n4pe
132	37	limits
133	36	implementation
134	36	key
135	36	reported
136	36	displayed
137	36	indicates
138	35	limited
139	35	quality
140	35	analyte
141	35	5th
142	34	risk
143	34	demographic
144	34	system
145	34	p-tau
146	34	95th
147	33	vascular
148	33	mci
149	33	neurofibrillary
150	33	size
151	33	analytes
152	33	upper
153	33	p-value
154	32	provide
155	32	adnc-pps
156	32	plaques
157	32	developed
158	32	conditions
159	31	resilient
160	31	healthy
161	31	assessment
162	31	genotype
163	31	nulisa
164	31	mild
165	31	ftd
166	30	neurodegenerative
167	30	proportion
168	30	lbd
169	30	females
170	29	ubc
171	29	ranges
172	29	original
173	29	seniors
174	29	cases
175	29	information
176	29	rc-pps
177	29	plaque
178	29	runs
179	28	tools
180	28	early
181	28	normal
182	28	aging
183	28	dementias
184	28	methods
185	28	assessing
186	28	collected
187	28	full
188	28	25th
189	28	elevated
190	28	whether
191	28	75th
192	27	phosphorylated
193	27	established
194	27	statistical
195	27	cross
196	27	larger
197	27	interpretation
198	27	common
199	27	major
200	27	indicating
